Orders.Ship Date.Variation.Date Hierarchy.Month,Orders.Ship Date.Variation.Date Hierarchy.Quarter,Orders.Region,Orders.City,Sum(Orders.Quantity),Sum(Orders.Profit)
June,Qtr 2,West,Gresham,,
July,Qtr 3,West,Gresham,,
August,Qtr 3,West,Gresham,8,-18.446399999999997
September,Qtr 3,West,Gresham,12,156.30880000000008
October,Qtr 4,West,Gresham,,
November,Qtr 4,West,Gresham,4,-12.196000000000005
December,Qtr 4,West,Gresham,,
January,Qtr 1,West,Helena,,
February,Qtr 1,West,Helena,,
March,Qtr 1,West,Helena,,
April,Qtr 2,West,Helena,,
May,Qtr 2,West,Helena,,
June,Qtr 2,West,Helena,,
July,Qtr 3,West,Helena,,
August,Qtr 3,West,Helena,,
September,Qtr 3,West,Helena,5,10.373999999999999
October,Qtr 4,West,Helena,,
November,Qtr 4,West,Helena,12,64.24819999999994
December,Qtr 4,West,Helena,,
January,Qtr 1,West,Henderson,,
February,Qtr 1,West,Henderson,,
March,Qtr 1,West,Henderson,,
April,Qtr 2,West,Henderson,5,70.72199999999998
May,Qtr 2,West,Henderson,8,322.322
June,Qtr 2,West,Henderson,,
July,Qtr 3,West,Henderson,,
August,Qtr 3,West,Henderson,,
September,Qtr 3,West,Henderson,,
October,Qtr 4,West,Henderson,,
November,Qtr 4,West,Henderson,,
December,Qtr 4,West,Henderson,,
January,Qtr 1,West,Hesperia,,
February,Qtr 1,West,Hesperia,,
March,Qtr 1,West,Hesperia,,
April,Qtr 2,West,Hesperia,13,78.52889999999996
May,Qtr 2,West,Hesperia,,
June,Qtr 2,West,Hesperia,,
July,Qtr 3,West,Hesperia,,
August,Qtr 3,West,Hesperia,,
September,Qtr 3,West,Hesperia,,
October,Qtr 4,West,Hesperia,5,19.997999999999976
November,Qtr 4,West,Hesperia,,
December,Qtr 4,West,Hesperia,,
January,Qtr 1,West,Hillsboro,,
February,Qtr 1,West,Hillsboro,,
March,Qtr 1,West,Hillsboro,,
April,Qtr 2,West,Hillsboro,,
May,Qtr 2,West,Hillsboro,,
June,Qtr 2,West,Hillsboro,,
July,Qtr 3,West,Hillsboro,,
August,Qtr 3,West,Hillsboro,,
September,Qtr 3,West,Hillsboro,,
October,Qtr 4,West,Hillsboro,4,-1.607199999999998
November,Qtr 4,West,Hillsboro,10,3.1527000000000003
December,Qtr 4,West,Hillsboro,,
January,Qtr 1,West,Huntington Beach,,
February,Qtr 1,West,Huntington Beach,,
March,Qtr 1,West,Huntington Beach,3,6.002599999999999
April,Qtr 2,West,Huntington Beach,,
May,Qtr 2,West,Huntington Beach,,
June,Qtr 2,West,Huntington Beach,8,25.898399999999995
July,Qtr 3,West,Huntington Beach,5,839.9860000000001
August,Qtr 3,West,Huntington Beach,,
September,Qtr 3,West,Huntington Beach,1,5.7509999999999994
October,Qtr 4,West,Huntington Beach,,
November,Qtr 4,West,Huntington Beach,2,2.4012
December,Qtr 4,West,Huntington Beach,,
January,Qtr 1,West,Inglewood,,
February,Qtr 1,West,Inglewood,,
March,Qtr 1,West,Inglewood,,
April,Qtr 2,West,Inglewood,,
May,Qtr 2,West,Inglewood,,
June,Qtr 2,West,Inglewood,,
July,Qtr 3,West,Inglewood,,
August,Qtr 3,West,Inglewood,26,926.3349999999999
September,Qtr 3,West,Inglewood,3,5.612
October,Qtr 4,West,Inglewood,,
November,Qtr 4,West,Inglewood,,
December,Qtr 4,West,Inglewood,24,94.74899999999997
January,Qtr 1,West,Kent,,
February,Qtr 1,West,Kent,,
March,Qtr 1,West,Kent,,
April,Qtr 2,West,Kent,,
May,Qtr 2,West,Kent,8,81.8437
June,Qtr 2,West,Kent,6,18.32819999999999
July,Qtr 3,West,Kent,14,502.92440000000005
August,Qtr 3,West,Kent,,
September,Qtr 3,West,Kent,,
October,Qtr 4,West,Kent,,
November,Qtr 4,West,Kent,,
December,Qtr 4,West,Kent,,
January,Qtr 1,West,La Mesa,,
February,Qtr 1,West,La Mesa,,
March,Qtr 1,West,La Mesa,,
April,Qtr 2,West,La Mesa,,
May,Qtr 2,West,La Mesa,,
June,Qtr 2,West,La Mesa,,
July,Qtr 3,West,La Mesa,,
August,Qtr 3,West,La Mesa,,
September,Qtr 3,West,La Mesa,8,114.38699999999996
October,Qtr 4,West,La Mesa,,
November,Qtr 4,West,La Mesa,,
December,Qtr 4,West,La Mesa,,
January,Qtr 1,West,La Quinta,,
February,Qtr 1,West,La Quinta,,
March,Qtr 1,West,La Quinta,,
April,Qtr 2,West,La Quinta,,
May,Qtr 2,West,La Quinta,,
June,Qtr 2,West,La Quinta,,
July,Qtr 3,West,La Quinta,,
August,Qtr 3,West,La Quinta,,
September,Qtr 3,West,La Quinta,4,18.0648
October,Qtr 4,West,La Quinta,,
November,Qtr 4,West,La Quinta,,
December,Qtr 4,West,La Quinta,,
January,Qtr 1,West,Laguna Niguel,,
February,Qtr 1,West,Laguna Niguel,2,16.79859999999998
March,Qtr 1,West,Laguna Niguel,,
April,Qtr 2,West,Laguna Niguel,,
May,Qtr 2,West,Laguna Niguel,,
June,Qtr 2,West,Laguna Niguel,,
July,Qtr 3,West,Laguna Niguel,,
August,Qtr 3,West,Laguna Niguel,,
September,Qtr 3,West,Laguna Niguel,2,6.3504000000000005
October,Qtr 4,West,Laguna Niguel,,
November,Qtr 4,West,Laguna Niguel,11,18.832499999999996
December,Qtr 4,West,Laguna Niguel,,
January,Qtr 1,West,Lake Elsinore,,
February,Qtr 1,West,Lake Elsinore,,
March,Qtr 1,West,Lake Elsinore,,
April,Qtr 2,West,Lake Elsinore,,
May,Qtr 2,West,Lake Elsinore,,
June,Qtr 2,West,Lake Elsinore,,
July,Qtr 3,West,Lake Elsinore,,
August,Qtr 3,West,Lake Elsinore,,
September,Qtr 3,West,Lake Elsinore,,
October,Qtr 4,West,Lake Elsinore,,
November,Qtr 4,West,Lake Elsinore,,
December,Qtr 4,West,Lake Elsinore,5,17.74500000000002
January,Qtr 1,West,Lake Forest,,
February,Qtr 1,West,Lake Forest,,
March,Qtr 1,West,Lake Forest,,
April,Qtr 2,West,Lake Forest,,
May,Qtr 2,West,Lake Forest,,
June,Qtr 2,West,Lake Forest,,
July,Qtr 3,West,Lake Forest,,
August,Qtr 3,West,Lake Forest,7,171.79439999999997
September,Qtr 3,West,Lake Forest,,
October,Qtr 4,West,Lake Forest,10,155.73699999999988
November,Qtr 4,West,Lake Forest,,
December,Qtr 4,West,Lake Forest,,
January,Qtr 1,West,Lakewood,,
February,Qtr 1,West,Lakewood,,
March,Qtr 1,West,Lakewood,,
April,Qtr 2,West,Lakewood,8,63.799199999999985
May,Qtr 2,West,Lakewood,10,-55.21560000000012
June,Qtr 2,West,Lakewood,,
July,Qtr 3,West,Lakewood,,
August,Qtr 3,West,Lakewood,,
September,Qtr 3,West,Lakewood,,
October,Qtr 4,West,Lakewood,6,20.09700000000001
November,Qtr 4,West,Lakewood,,
December,Qtr 4,West,Lakewood,11,15.2818
January,Qtr 1,West,Lancaster,,
February,Qtr 1,West,Lancaster,,
March,Qtr 1,West,Lancaster,7,9.4884
April,Qtr 2,West,Lancaster,,
May,Qtr 2,West,Lancaster,,
June,Qtr 2,West,Lancaster,,
July,Qtr 3,West,Lancaster,,
August,Qtr 3,West,Lancaster,,
September,Qtr 3,West,Lancaster,6,35.056
October,Qtr 4,West,Lancaster,,
November,Qtr 4,West,Lancaster,,
December,Qtr 4,West,Lancaster,2,34.89279999999998
January,Qtr 1,West,Las Cruces,,
February,Qtr 1,West,Las Cruces,4,23.086399999999998
March,Qtr 1,West,Las Cruces,,
April,Qtr 2,West,Las Cruces,,
May,Qtr 2,West,Las Cruces,,
June,Qtr 2,West,Las Cruces,,
July,Qtr 3,West,Las Cruces,,
August,Qtr 3,West,Las Cruces,,
September,Qtr 3,West,Las Cruces,,
October,Qtr 4,West,Las Cruces,,
November,Qtr 4,West,Las Cruces,3,17.3754
December,Qtr 4,West,Las Cruces,2,3.4776
January,Qtr 1,West,Las Vegas,6,19.2384
February,Qtr 1,West,Las Vegas,,
March,Qtr 1,West,Las Vegas,,
April,Qtr 2,West,Las Vegas,,
May,Qtr 2,West,Las Vegas,16,92.02089999999998
June,Qtr 2,West,Las Vegas,,
July,Qtr 3,West,Las Vegas,3,25.57979999999999
August,Qtr 3,West,Las Vegas,,
September,Qtr 3,West,Las Vegas,11,16.524199999999997
October,Qtr 4,West,Las Vegas,,
November,Qtr 4,West,Las Vegas,10,72.67679999999999
December,Qtr 4,West,Las Vegas,15,106.4032
January,Qtr 1,West,Layton,,
February,Qtr 1,West,Layton,,
March,Qtr 1,West,Layton,,
April,Qtr 2,West,Layton,,
May,Qtr 2,West,Layton,,
June,Qtr 2,West,Layton,4,2.3312
July,Qtr 3,West,Layton,,
August,Qtr 3,West,Layton,,
September,Qtr 3,West,Layton,,
October,Qtr 4,West,Layton,,
November,Qtr 4,West,Layton,,
December,Qtr 4,West,Layton,,
January,Qtr 1,West,Lehi,,
February,Qtr 1,West,Lehi,,
March,Qtr 1,West,Lehi,3,1.6776
April,Qtr 2,West,Lehi,,
May,Qtr 2,West,Lehi,,
June,Qtr 2,West,Lehi,,
July,Qtr 3,West,Lehi,5,449.9849999999999
August,Qtr 3,West,Lehi,,
September,Qtr 3,West,Lehi,,
October,Qtr 4,West,Lehi,,
November,Qtr 4,West,Lehi,,
December,Qtr 4,West,Lehi,,
January,Qtr 1,West,Lewiston,,
February,Qtr 1,West,Lewiston,,
March,Qtr 1,West,Lewiston,,
April,Qtr 2,West,Lewiston,1,3.3543999999999996
May,Qtr 2,West,Lewiston,,
June,Qtr 2,West,Lewiston,,
July,Qtr 3,West,Lewiston,,
August,Qtr 3,West,Lewiston,,
September,Qtr 3,West,Lewiston,,
October,Qtr 4,West,Lewiston,,
November,Qtr 4,West,Lewiston,,
December,Qtr 4,West,Lewiston,,
January,Qtr 1,West,Littleton,,
February,Qtr 1,West,Littleton,,
March,Qtr 1,West,Littleton,1,-98.80179999999999
April,Qtr 2,West,Littleton,,
May,Qtr 2,West,Littleton,,
June,Qtr 2,West,Littleton,,
July,Qtr 3,West,Littleton,,
August,Qtr 3,West,Littleton,,
September,Qtr 3,West,Littleton,,
October,Qtr 4,West,Littleton,,
November,Qtr 4,West,Littleton,,
December,Qtr 4,West,Littleton,,
January,Qtr 1,West,Lodi,,
February,Qtr 1,West,Lodi,,
March,Qtr 1,West,Lodi,,
April,Qtr 2,West,Lodi,2,16.268800000000002
May,Qtr 2,West,Lodi,,
June,Qtr 2,West,Lodi,,
July,Qtr 3,West,Lodi,,
August,Qtr 3,West,Lodi,,
September,Qtr 3,West,Lodi,,
October,Qtr 4,West,Lodi,7,28.21699999999999
November,Qtr 4,West,Lodi,,
December,Qtr 4,West,Lodi,,
January,Qtr 1,West,Logan,,
February,Qtr 1,West,Logan,,
March,Qtr 1,West,Logan,21,46.963199999999986
April,Qtr 2,West,Logan,,
May,Qtr 2,West,Logan,,
June,Qtr 2,West,Logan,,
July,Qtr 3,West,Logan,,
August,Qtr 3,West,Logan,,
September,Qtr 3,West,Logan,,
October,Qtr 4,West,Logan,,
November,Qtr 4,West,Logan,,
December,Qtr 4,West,Logan,,
January,Qtr 1,West,Long Beach,22,80.68879999999997
February,Qtr 1,West,Long Beach,3,27.198999999999998
March,Qtr 1,West,Long Beach,,
April,Qtr 2,West,Long Beach,3,-13.871700000000047
May,Qtr 2,West,Long Beach,,
June,Qtr 2,West,Long Beach,8,29.829000000000015
July,Qtr 3,West,Long Beach,,
August,Qtr 3,West,Long Beach,,
September,Qtr 3,West,Long Beach,34,368.1565999999998
October,Qtr 4,West,Long Beach,25,250.74169999999992
November,Qtr 4,West,Long Beach,1,0.7938000000000001
December,Qtr 4,West,Long Beach,18,2.858399999999989
January,Qtr 1,West,Longmont,,
February,Qtr 1,West,Longmont,,
March,Qtr 1,West,Longmont,,
April,Qtr 2,West,Longmont,,
May,Qtr 2,West,Longmont,,
June,Qtr 2,West,Longmont,7,41.03519999999993
July,Qtr 3,West,Longmont,,
August,Qtr 3,West,Longmont,,
September,Qtr 3,West,Longmont,,
October,Qtr 4,West,Longmont,,
November,Qtr 4,West,Longmont,,
December,Qtr 4,West,Longmont,3,-6.210000000000015
January,Qtr 1,West,Longview,5,7.703499999999998
February,Qtr 1,West,Longview,,
March,Qtr 1,West,Longview,,
April,Qtr 2,West,Longview,,
May,Qtr 2,West,Longview,,
June,Qtr 2,West,Longview,,
July,Qtr 3,West,Longview,,
August,Qtr 3,West,Longview,,
September,Qtr 3,West,Longview,,
October,Qtr 4,West,Longview,,
November,Qtr 4,West,Longview,5,31.194799999999997
December,Qtr 4,West,Longview,,
January,Qtr 1,West,Los Angeles,106,1003.1911999999996
February,Qtr 1,West,Los Angeles,159,1421.1599999999992
March,Qtr 1,West,Los Angeles,162,2254.517299999999
April,Qtr 2,West,Los Angeles,232,1419.7111
May,Qtr 2,West,Los Angeles,188,2245.8782999999994
June,Qtr 2,West,Los Angeles,255,2054.4703999999997
July,Qtr 3,West,Los Angeles,151,1895.0333999999998
August,Qtr 3,West,Los Angeles,168,1550.8644999999992
September,Qtr 3,West,Los Angeles,288,3669.6415
October,Qtr 4,West,Los Angeles,209,2155.3335999999995
November,Qtr 4,West,Los Angeles,515,4899.2559
December,Qtr 4,West,Los Angeles,446,5871.700699999999
January,Qtr 1,West,Louisville,,
February,Qtr 1,West,Louisville,3,3.065399999999999
March,Qtr 1,West,Louisville,,
April,Qtr 2,West,Louisville,22,-3424.354600000001
May,Qtr 2,West,Louisville,26,-135.6335
June,Qtr 2,West,Louisville,6,56.56620000000001
July,Qtr 3,West,Louisville,,
August,Qtr 3,West,Louisville,7,29.940899999999985
September,Qtr 3,West,Louisville,10,18.046499999999988
October,Qtr 4,West,Louisville,,
November,Qtr 4,West,Louisville,14,45.56039999999999
December,Qtr 4,West,Louisville,2,0.5992000000000002
January,Qtr 1,West,Loveland,3,-0.6048
February,Qtr 1,West,Loveland,,
March,Qtr 1,West,Loveland,,
April,Qtr 2,West,Loveland,,
May,Qtr 2,West,Loveland,,
June,Qtr 2,West,Loveland,,
July,Qtr 3,West,Loveland,,
August,Qtr 3,West,Loveland,3,6.072600000000001
September,Qtr 3,West,Loveland,,
October,Qtr 4,West,Loveland,,
November,Qtr 4,West,Loveland,,
December,Qtr 4,West,Loveland,2,-0.9899999999999998
January,Qtr 1,West,Manteca,,
February,Qtr 1,West,Manteca,,
March,Qtr 1,West,Manteca,3,150.98399999999998
April,Qtr 2,West,Manteca,,
May,Qtr 2,West,Manteca,,
June,Qtr 2,West,Manteca,,
July,Qtr 3,West,Manteca,,
August,Qtr 3,West,Manteca,,
September,Qtr 3,West,Manteca,,
October,Qtr 4,West,Manteca,5,21.251799999999996
November,Qtr 4,West,Manteca,,
December,Qtr 4,West,Manteca,,
January,Qtr 1,West,Marysville,,
February,Qtr 1,West,Marysville,,
March,Qtr 1,West,Marysville,,
April,Qtr 2,West,Marysville,,
May,Qtr 2,West,Marysville,,
June,Qtr 2,West,Marysville,,
July,Qtr 3,West,Marysville,,
August,Qtr 3,West,Marysville,,
September,Qtr 3,West,Marysville,,
October,Qtr 4,West,Marysville,12,0.9335999999999984
November,Qtr 4,West,Marysville,3,2.3814
December,Qtr 4,West,Marysville,,
January,Qtr 1,West,Medford,,
February,Qtr 1,West,Medford,,
March,Qtr 1,West,Medford,7,18.789299999999997
April,Qtr 2,West,Medford,,
May,Qtr 2,West,Medford,,
June,Qtr 2,West,Medford,,
July,Qtr 3,West,Medford,,
August,Qtr 3,West,Medford,,
September,Qtr 3,West,Medford,2,-6.833400000000001
October,Qtr 4,West,Medford,,
November,Qtr 4,West,Medford,1,7.744999999999998
December,Qtr 4,West,Medford,,
January,Qtr 1,West,Meridian,,
February,Qtr 1,West,Meridian,,
March,Qtr 1,West,Meridian,,
April,Qtr 2,West,Meridian,,
May,Qtr 2,West,Meridian,,
June,Qtr 2,West,Meridian,,
July,Qtr 3,West,Meridian,,
August,Qtr 3,West,Meridian,,
September,Qtr 3,West,Meridian,,
October,Qtr 4,West,Meridian,8,87.22199999999995
November,Qtr 4,West,Meridian,,
December,Qtr 4,West,Meridian,3,7.991999999999999
January,Qtr 1,West,Mesa,,
February,Qtr 1,West,Mesa,,
March,Qtr 1,West,Mesa,,
April,Qtr 2,West,Mesa,24,96.1266
May,Qtr 2,West,Mesa,,
June,Qtr 2,West,Mesa,11,23.841
July,Qtr 3,West,Mesa,20,-402.97860000000003
August,Qtr 3,West,Mesa,8,33.1584
September,Qtr 3,West,Mesa,32,-126.53460000000001
October,Qtr 4,West,Mesa,,
November,Qtr 4,West,Mesa,25,-46.49839999999999
December,Qtr 4,West,Mesa,8,-136.3458
January,Qtr 1,West,Mission Viejo,,
February,Qtr 1,West,Mission Viejo,2,3.4195999999999884
March,Qtr 1,West,Mission Viejo,,
April,Qtr 2,West,Mission Viejo,,
May,Qtr 2,West,Mission Viejo,7,49.1409
June,Qtr 2,West,Mission Viejo,,
July,Qtr 3,West,Mission Viejo,,
August,Qtr 3,West,Mission Viejo,9,98.50399999999999
September,Qtr 3,West,Mission Viejo,,
October,Qtr 4,West,Mission Viejo,,
November,Qtr 4,West,Mission Viejo,,
December,Qtr 4,West,Mission Viejo,,
January,Qtr 1,West,Missoula,2,152.49499999999998
February,Qtr 1,West,Missoula,,
March,Qtr 1,West,Missoula,,
April,Qtr 2,West,Missoula,,
May,Qtr 2,West,Missoula,,
June,Qtr 2,West,Missoula,,
July,Qtr 3,West,Missoula,,
August,Qtr 3,West,Missoula,,
September,Qtr 3,West,Missoula,,
October,Qtr 4,West,Missoula,,
November,Qtr 4,West,Missoula,,
December,Qtr 4,West,Missoula,,
January,Qtr 1,West,Modesto,,
February,Qtr 1,West,Modesto,,
March,Qtr 1,West,Modesto,,
April,Qtr 2,West,Modesto,,
May,Qtr 2,West,Modesto,,
June,Qtr 2,West,Modesto,,
July,Qtr 3,West,Modesto,,
August,Qtr 3,West,Modesto,,
September,Qtr 3,West,Modesto,2,-28.27440000000002
October,Qtr 4,West,Modesto,1,4.619300000000003
November,Qtr 4,West,Modesto,7,43.5981
December,Qtr 4,West,Modesto,,
January,Qtr 1,West,Montebello,,
February,Qtr 1,West,Montebello,,
March,Qtr 1,West,Montebello,,
April,Qtr 2,West,Montebello,,
May,Qtr 2,West,Montebello,,
June,Qtr 2,West,Montebello,,
July,Qtr 3,West,Montebello,,
August,Qtr 3,West,Montebello,,
September,Qtr 3,West,Montebello,,
October,Qtr 4,West,Montebello,,
November,Qtr 4,West,Montebello,2,3.903200000000002
December,Qtr 4,West,Montebello,,
January,Qtr 1,West,Moreno Valley,,
February,Qtr 1,West,Moreno Valley,11,93.38239999999999
March,Qtr 1,West,Moreno Valley,,
April,Qtr 2,West,Moreno Valley,,
May,Qtr 2,West,Moreno Valley,,
June,Qtr 2,West,Moreno Valley,,
July,Qtr 3,West,Moreno Valley,,
August,Qtr 3,West,Moreno Valley,,
September,Qtr 3,West,Moreno Valley,11,12.717599999999997
October,Qtr 4,West,Moreno Valley,,
November,Qtr 4,West,Moreno Valley,,
December,Qtr 4,West,Moreno Valley,20,247.5301
January,Qtr 1,West,Morgan Hill,,
February,Qtr 1,West,Morgan Hill,,
March,Qtr 1,West,Morgan Hill,,
April,Qtr 2,West,Morgan Hill,,
May,Qtr 2,West,Morgan Hill,,
June,Qtr 2,West,Morgan Hill,,
July,Qtr 3,West,Morgan Hill,,
August,Qtr 3,West,Morgan Hill,,
September,Qtr 3,West,Morgan Hill,,
October,Qtr 4,West,Morgan Hill,,
November,Qtr 4,West,Morgan Hill,,
December,Qtr 4,West,Morgan Hill,16,7.845999999999979
January,Qtr 1,West,Murray,,
February,Qtr 1,West,Murray,,
March,Qtr 1,West,Murray,,
April,Qtr 2,West,Murray,,
May,Qtr 2,West,Murray,5,23.232
June,Qtr 2,West,Murray,,
July,Qtr 3,West,Murray,10,13.830799999999996
August,Qtr 3,West,Murray,,
September,Qtr 3,West,Murray,,
October,Qtr 4,West,Murray,,
November,Qtr 4,West,Murray,,
December,Qtr 4,West,Murray,,
January,Qtr 1,West,Murrieta,,
February,Qtr 1,West,Murrieta,,
March,Qtr 1,West,Murrieta,,
April,Qtr 2,West,Murrieta,,
May,Qtr 2,West,Murrieta,,
June,Qtr 2,West,Murrieta,,
July,Qtr 3,West,Murrieta,,
August,Qtr 3,West,Murrieta,3,92.08350000000002
September,Qtr 3,West,Murrieta,,
October,Qtr 4,West,Murrieta,,
November,Qtr 4,West,Murrieta,,
December,Qtr 4,West,Murrieta,,
January,Qtr 1,West,North Las Vegas,,
February,Qtr 1,West,North Las Vegas,2,5.5328
March,Qtr 1,West,North Las Vegas,2,19.331399999999995
April,Qtr 2,West,North Las Vegas,,
May,Qtr 2,West,North Las Vegas,,
June,Qtr 2,West,North Las Vegas,12,55.312
July,Qtr 3,West,North Las Vegas,,
August,Qtr 3,West,North Las Vegas,17,110.6961999999998
September,Qtr 3,West,North Las Vegas,,
October,Qtr 4,West,North Las Vegas,12,1691.3096999999998
November,Qtr 4,West,North Las Vegas,,
December,Qtr 4,West,North Las Vegas,13,365.5077999999998
January,Qtr 1,West,Oakland,1,10.028199999999998
February,Qtr 1,West,Oakland,,
March,Qtr 1,West,Oakland,,
April,Qtr 2,West,Oakland,,
May,Qtr 2,West,Oakland,3,52.48949999999999
June,Qtr 2,West,Oakland,,
July,Qtr 3,West,Oakland,,
August,Qtr 3,West,Oakland,46,259.66899999999987
September,Qtr 3,West,Oakland,3,4.1328
October,Qtr 4,West,Oakland,10,-70.12980000000005
November,Qtr 4,West,Oakland,13,197.89079999999998
December,Qtr 4,West,Oakland,31,380.0223999999998
January,Qtr 1,West,Oceanside,,
February,Qtr 1,West,Oceanside,,
March,Qtr 1,West,Oceanside,,
April,Qtr 2,West,Oceanside,,
May,Qtr 2,West,Oceanside,2,6.2208000000000006
June,Qtr 2,West,Oceanside,,
July,Qtr 3,West,Oceanside,,
August,Qtr 3,West,Oceanside,,
September,Qtr 3,West,Oceanside,2,53.196
October,Qtr 4,West,Oceanside,,
November,Qtr 4,West,Oceanside,10,27.053800000000003
December,Qtr 4,West,Oceanside,11,31.042399999999997
January,Qtr 1,West,Olympia,,
February,Qtr 1,West,Olympia,,
March,Qtr 1,West,Olympia,,
April,Qtr 2,West,Olympia,,
May,Qtr 2,West,Olympia,,
June,Qtr 2,West,Olympia,8,73.3201
July,Qtr 3,West,Olympia,,
August,Qtr 3,West,Olympia,,
September,Qtr 3,West,Olympia,,
October,Qtr 4,West,Olympia,,
November,Qtr 4,West,Olympia,,
December,Qtr 4,West,Olympia,7,66.30680000000001
January,Qtr 1,West,Ontario,,
February,Qtr 1,West,Ontario,,
March,Qtr 1,West,Ontario,,
April,Qtr 2,West,Ontario,,
May,Qtr 2,West,Ontario,,
June,Qtr 2,West,Ontario,,
July,Qtr 3,West,Ontario,,
August,Qtr 3,West,Ontario,,
September,Qtr 3,West,Ontario,,
October,Qtr 4,West,Ontario,,
November,Qtr 4,West,Ontario,5,-46.13700000000003
December,Qtr 4,West,Ontario,,
January,Qtr 1,West,Orem,,
February,Qtr 1,West,Orem,,
March,Qtr 1,West,Orem,,
April,Qtr 2,West,Orem,,
May,Qtr 2,West,Orem,,
June,Qtr 2,West,Orem,23,251.0685999999999
July,Qtr 3,West,Orem,4,19.095200000000002
August,Qtr 3,West,Orem,,
September,Qtr 3,West,Orem,3,240.2649
October,Qtr 4,West,Orem,2,4.2048
November,Qtr 4,West,Orem,,
December,Qtr 4,West,Orem,,
January,Qtr 1,West,Oxnard,,
February,Qtr 1,West,Oxnard,,
March,Qtr 1,West,Oxnard,,
April,Qtr 2,West,Oxnard,,
May,Qtr 2,West,Oxnard,,
June,Qtr 2,West,Oxnard,,
July,Qtr 3,West,Oxnard,14,37.2649
August,Qtr 3,West,Oxnard,,
September,Qtr 3,West,Oxnard,3,21.751499999999986
October,Qtr 4,West,Oxnard,,
November,Qtr 4,West,Oxnard,5,29.0325
December,Qtr 4,West,Oxnard,9,258.4087999999999
January,Qtr 1,West,Parker,,
February,Qtr 1,West,Parker,,
March,Qtr 1,West,Parker,,
April,Qtr 2,West,Parker,,
May,Qtr 2,West,Parker,,
June,Qtr 2,West,Parker,10,33.042699999999996
July,Qtr 3,West,Parker,,
August,Qtr 3,West,Parker,,
September,Qtr 3,West,Parker,,
October,Qtr 4,West,Parker,,
November,Qtr 4,West,Parker,,
December,Qtr 4,West,Parker,14,-197.2319999999999
January,Qtr 1,West,Pasadena,,
February,Qtr 1,West,Pasadena,,
March,Qtr 1,West,Pasadena,,
April,Qtr 2,West,Pasadena,27,100.92309999999999
May,Qtr 2,West,Pasadena,7,52.49299999999997
June,Qtr 2,West,Pasadena,25,126.03299999999999
July,Qtr 3,West,Pasadena,3,-17.035200000000003
August,Qtr 3,West,Pasadena,,
September,Qtr 3,West,Pasadena,7,20.157899999999998
October,Qtr 4,West,Pasadena,9,-63.15930000000007
November,Qtr 4,West,Pasadena,10,71.97399999999996
December,Qtr 4,West,Pasadena,9,138.5904
January,Qtr 1,West,Pasco,,
February,Qtr 1,West,Pasco,,
March,Qtr 1,West,Pasco,,
April,Qtr 2,West,Pasco,,
May,Qtr 2,West,Pasco,,
June,Qtr 2,West,Pasco,,
July,Qtr 3,West,Pasco,,
August,Qtr 3,West,Pasco,,
September,Qtr 3,West,Pasco,21,235.22319999999985
October,Qtr 4,West,Pasco,,
November,Qtr 4,West,Pasco,6,122.30120000000001
December,Qtr 4,West,Pasco,,
January,Qtr 1,West,Peoria,,
February,Qtr 1,West,Peoria,,
March,Qtr 1,West,Peoria,,
April,Qtr 2,West,Peoria,,
May,Qtr 2,West,Peoria,,
June,Qtr 2,West,Peoria,31,18.504399999999947
July,Qtr 3,West,Peoria,,
August,Qtr 3,West,Peoria,16,-23.00760000000004
September,Qtr 3,West,Peoria,,
October,Qtr 4,West,Peoria,4,-5.3644
November,Qtr 4,West,Peoria,,
December,Qtr 4,West,Peoria,6,-45.239999999999995
January,Qtr 1,West,Phoenix,15,-853.3259
February,Qtr 1,West,Phoenix,,
March,Qtr 1,West,Phoenix,,
April,Qtr 2,West,Phoenix,20,-857.1918
May,Qtr 2,West,Phoenix,31,-334.20259999999996
June,Qtr 2,West,Phoenix,15,73.4004
July,Qtr 3,West,Phoenix,23,-474.14779999999996
August,Qtr 3,West,Phoenix,24,311.67419999999976
September,Qtr 3,West,Phoenix,24,-181.80050000000003
October,Qtr 4,West,Phoenix,16,-36.50699999999999
November,Qtr 4,West,Phoenix,22,61.07099999999997
December,Qtr 4,West,Phoenix,34,-499.85319999999996
January,Qtr 1,West,Pico Rivera,,
February,Qtr 1,West,Pico Rivera,,
March,Qtr 1,West,Pico Rivera,,
April,Qtr 2,West,Pico Rivera,,
May,Qtr 2,West,Pico Rivera,,
June,Qtr 2,West,Pico Rivera,,
July,Qtr 3,West,Pico Rivera,5,62.736999999999995
August,Qtr 3,West,Pico Rivera,,
September,Qtr 3,West,Pico Rivera,,
October,Qtr 4,West,Pico Rivera,,
November,Qtr 4,West,Pico Rivera,,
December,Qtr 4,West,Pico Rivera,,
January,Qtr 1,West,Pleasant Grove,,
February,Qtr 1,West,Pleasant Grove,3,4.098599999999999
March,Qtr 1,West,Pleasant Grove,,
April,Qtr 2,West,Pleasant Grove,,
May,Qtr 2,West,Pleasant Grove,,
June,Qtr 2,West,Pleasant Grove,,
July,Qtr 3,West,Pleasant Grove,,
August,Qtr 3,West,Pleasant Grove,27,576.5563
September,Qtr 3,West,Pleasant Grove,,
October,Qtr 4,West,Pleasant Grove,,
November,Qtr 4,West,Pleasant Grove,,
December,Qtr 4,West,Pleasant Grove,,
January,Qtr 1,West,Pocatello,,
February,Qtr 1,West,Pocatello,,
