GL Balances.Period Date.Variation.Date Hierarchy.Month,GL Balances.Period Date.Variation.Date Hierarchy.Quarter,GL Balances.Period Date.Variation.Date Hierarchy.Year,Sum(GL Balances.Report Amount)
March,Qtr 1,2022,70271.7
April,Qtr 2,2022,82933.9
May,Qtr 2,2022,14714.4
June,Qtr 2,2022,58194.5
July,Qtr 3,2022,12948.13
August,Qtr 3,2022,8350816.47
September,Qtr 3,2022,1301979.03
October,Qtr 4,2022,1394716.63
November,Qtr 4,2022,1596334.5
December,Qtr 4,2022,9105610.19
January,Qtr 1,2023,76447909.47
February,Qtr 1,2023,1575982.93
March,Qtr 1,2023,9804739.4
April,Qtr 2,2023,7136902.46
May,Qtr 2,2023,9234916.1
June,Qtr 2,2023,212264.8
July,Qtr 3,2023,5065441.84
August,Qtr 3,2023,4663393.54
September,Qtr 3,2023,7566727.57
October,Qtr 4,2023,3267537.89
November,Qtr 4,2023,1942096.09
December,Qtr 4,2023,927087.31
January,Qtr 1,2024,61331941.29
February,Qtr 1,2024,7898473.83
March,Qtr 1,2024,4657463.97
April,Qtr 2,2024,8037827.81
May,Qtr 2,2024,2931840.8
June,Qtr 2,2024,811735.32
July,Qtr 3,2024,6135970.49
August,Qtr 3,2024,1520359.88
September,Qtr 3,2024,6751293.61
October,Qtr 4,2024,1349950.76
November,Qtr 4,2024,5222942.38
December,Qtr 4,2024,2874403.76
January,Qtr 1,2020,7
February,Qtr 1,2020,7
March,Qtr 1,2020,2
April,Qtr 2,2020,8
May,Qtr 2,2020,2
June,Qtr 2,2020,3
July,Qtr 3,2020,0
August,Qtr 3,2020,5
September,Qtr 3,2020,3
October,Qtr 4,2020,2
November,Qtr 4,2020,0
December,Qtr 4,2020,6
January,Qtr 1,2021,3
February,Qtr 1,2021,5
March,Qtr 1,2021,3
April,Qtr 2,2021,4
May,Qtr 2,2021,4
June,Qtr 2,2021,9
July,Qtr 3,2021,9
August,Qtr 3,2021,6
September,Qtr 3,2021,8
October,Qtr 4,2021,1
November,Qtr 4,2021,1
December,Qtr 4,2021,9
January,Qtr 1,2022,0
February,Qtr 1,2022,4
March,Qtr 1,2022,8
April,Qtr 2,2022,0
May,Qtr 2,2022,6
June,Qtr 2,2022,1
July,Qtr 3,2022,8
August,Qtr 3,2022,887566.89
September,Qtr 3,2022,588656.88
October,Qtr 4,2022,780163.19
November,Qtr 4,2022,998471.32
December,Qtr 4,2022,71319647.56
January,Qtr 1,2023,91556407.61
February,Qtr 1,2023,29320509
March,Qtr 1,2023,7610292.5
April,Qtr 2,2023,1045340.03
May,Qtr 2,2023,2030396.51
June,Qtr 2,2023,9308183.72
July,Qtr 3,2023,8783152.44
August,Qtr 3,2023,4362640.57
September,Qtr 3,2023,9191683.8
October,Qtr 4,2023,8978346.73
November,Qtr 4,2023,7240511.05
December,Qtr 4,2023,1495841
January,Qtr 1,2024,1178994.19
February,Qtr 1,2024,1965889.19
March,Qtr 1,2024,2919727.32
April,Qtr 2,2024,8768395.26
May,Qtr 2,2024,9491161.08
June,Qtr 2,2024,1418168.52
July,Qtr 3,2024,2993244.69
August,Qtr 3,2024,5000638.03
September,Qtr 3,2024,3775272.79
October,Qtr 4,2024,2797053.71
November,Qtr 4,2024,6229552.7
December,Qtr 4,2024,8659455.88
January,Qtr 1,2020,3
February,Qtr 1,2020,7
March,Qtr 1,2020,9
April,Qtr 2,2020,4
May,Qtr 2,2020,3
June,Qtr 2,2020,4
July,Qtr 3,2020,0
August,Qtr 3,2020,8
September,Qtr 3,2020,9
October,Qtr 4,2020,5
November,Qtr 4,2020,7
December,Qtr 4,2020,0
January,Qtr 1,2021,4
February,Qtr 1,2021,2
March,Qtr 1,2021,9
April,Qtr 2,2021,8
May,Qtr 2,2021,8
June,Qtr 2,2021,4
July,Qtr 3,2021,4
August,Qtr 3,2021,3
September,Qtr 3,2021,7
October,Qtr 4,2021,8
November,Qtr 4,2021,7
December,Qtr 4,2021,3
January,Qtr 1,2022,7
February,Qtr 1,2022,6
March,Qtr 1,2022,7
April,Qtr 2,2022,6
May,Qtr 2,2022,2
June,Qtr 2,2022,5
July,Qtr 3,2022,82341.85
August,Qtr 3,2022,90422.44
September,Qtr 3,2022,6272.13
October,Qtr 4,2022,986722.43
November,Qtr 4,2022,573409.18
December,Qtr 4,2022,962963.71
January,Qtr 1,2023,317063.46
February,Qtr 1,2023,499505.48
March,Qtr 1,2023,611130.23
April,Qtr 2,2023,485418.21
May,Qtr 2,2023,691629.05
June,Qtr 2,2023,793440.56
July,Qtr 3,2023,714434.17
August,Qtr 3,2023,982338.41
September,Qtr 3,2023,866421.71
October,Qtr 4,2023,696044.35
November,Qtr 4,2023,847237.93
December,Qtr 4,2023,707762.25
January,Qtr 1,2024,141054.5
February,Qtr 1,2024,252218.04
March,Qtr 1,2024,558747.09
April,Qtr 2,2024,822192.24
May,Qtr 2,2024,783573.55
June,Qtr 2,2024,363956.32
July,Qtr 3,2024,909849.8
August,Qtr 3,2024,571484.87
September,Qtr 3,2024,889939.79
October,Qtr 4,2024,501138.41
November,Qtr 4,2024,115637.07
December,Qtr 4,2024,598959.64
January,Qtr 1,2020,9
February,Qtr 1,2020,8
March,Qtr 1,2020,7
April,Qtr 2,2020,7
May,Qtr 2,2020,6
June,Qtr 2,2020,9
July,Qtr 3,2020,0
August,Qtr 3,2020,5
September,Qtr 3,2020,5
October,Qtr 4,2020,0
November,Qtr 4,2020,8
December,Qtr 4,2020,4
January,Qtr 1,2021,1
February,Qtr 1,2021,6
March,Qtr 1,2021,8
April,Qtr 2,2021,1
May,Qtr 2,2021,4
June,Qtr 2,2021,5
July,Qtr 3,2021,9
August,Qtr 3,2021,3
September,Qtr 3,2021,0
October,Qtr 4,2021,6
November,Qtr 4,2021,1
December,Qtr 4,2021,3
January,Qtr 1,2022,6
February,Qtr 1,2022,5
March,Qtr 1,2022,9
April,Qtr 2,2022,4
May,Qtr 2,2022,1
June,Qtr 2,2022,0
July,Qtr 3,2022,56009.2
August,Qtr 3,2022,112489.07
September,Qtr 3,2022,545109.01
October,Qtr 4,2022,3096422.63
November,Qtr 4,2022,6452048.34
December,Qtr 4,2022,6295312.24
January,Qtr 1,2023,4776354
February,Qtr 1,2023,1469043.86
March,Qtr 1,2023,3950930.47
April,Qtr 2,2023,1960463.55
May,Qtr 2,2023,3766496.21
June,Qtr 2,2023,4550850.28
July,Qtr 3,2023,5661959.17
August,Qtr 3,2023,3914090.63
September,Qtr 3,2023,7724889.02
October,Qtr 4,2023,8659120.56
November,Qtr 4,2023,3881520.98
December,Qtr 4,2023,5857460.48
January,Qtr 1,2024,4159109.87
February,Qtr 1,2024,378458.74
March,Qtr 1,2024,8815879.12
April,Qtr 2,2024,932161.49
May,Qtr 2,2024,205669.59
June,Qtr 2,2024,3283806.86
July,Qtr 3,2024,9489452.25
August,Qtr 3,2024,9787035.34
September,Qtr 3,2024,5345957.49
October,Qtr 4,2024,6484161.73
November,Qtr 4,2024,5375130.25
December,Qtr 4,2024,9420023.75
January,Qtr 1,2020,9
February,Qtr 1,2020,9
March,Qtr 1,2020,5
April,Qtr 2,2020,7
May,Qtr 2,2020,5
June,Qtr 2,2020,1
July,Qtr 3,2020,5
August,Qtr 3,2020,9
September,Qtr 3,2020,3
October,Qtr 4,2020,3
November,Qtr 4,2020,0
December,Qtr 4,2020,4
January,Qtr 1,2021,1
February,Qtr 1,2021,3
March,Qtr 1,2021,8
April,Qtr 2,2021,2
May,Qtr 2,2021,4
June,Qtr 2,2021,8
July,Qtr 3,2021,0
August,Qtr 3,2021,8
September,Qtr 3,2021,8
October,Qtr 4,2021,6
November,Qtr 4,2021,9
December,Qtr 4,2021,2
January,Qtr 1,2022,2
February,Qtr 1,2022,0
March,Qtr 1,2022,2
April,Qtr 2,2022,3
May,Qtr 2,2022,2
June,Qtr 2,2022,3
July,Qtr 3,2022,7
August,Qtr 3,2022,153924.1
September,Qtr 3,2022,992428.04
October,Qtr 4,2022,3940228.4
November,Qtr 4,2022,4601012.36
December,Qtr 4,2022,8332313.76
January,Qtr 1,2023,67375908.72
February,Qtr 1,2023,1108311.76
March,Qtr 1,2023,4398283.36
April,Qtr 2,2023,971355.43
May,Qtr 2,2023,9070843.93
June,Qtr 2,2023,9565897.65
July,Qtr 3,2023,4551578.13
August,Qtr 3,2023,2156007.38
September,Qtr 3,2023,8900436.43
October,Qtr 4,2023,5856889.94
November,Qtr 4,2023,4804825.04
December,Qtr 4,2023,7017616.01
January,Qtr 1,2024,17990023.26
February,Qtr 1,2024,3025102.31
March,Qtr 1,2024,135515.9
April,Qtr 2,2024,1874240.98
May,Qtr 2,2024,8162611.16
June,Qtr 2,2024,1169110.26
July,Qtr 3,2024,8811454.77
August,Qtr 3,2024,6501048.02
September,Qtr 3,2024,988240.65
October,Qtr 4,2024,1013417.56
November,Qtr 4,2024,1123444.11
December,Qtr 4,2024,4327065.36
January,Qtr 1,2020,5
February,Qtr 1,2020,4
March,Qtr 1,2020,5
April,Qtr 2,2020,8
May,Qtr 2,2020,5
June,Qtr 2,2020,4
July,Qtr 3,2020,4
August,Qtr 3,2020,2
September,Qtr 3,2020,4
October,Qtr 4,2020,5
November,Qtr 4,2020,6
December,Qtr 4,2020,2
January,Qtr 1,2021,7
February,Qtr 1,2021,3
March,Qtr 1,2021,4
April,Qtr 2,2021,5
May,Qtr 2,2021,9
June,Qtr 2,2021,8
July,Qtr 3,2021,3
August,Qtr 3,2021,7
September,Qtr 3,2021,8
October,Qtr 4,2021,8
November,Qtr 4,2021,7
December,Qtr 4,2021,3
January,Qtr 1,2022,6
February,Qtr 1,2022,3
March,Qtr 1,2022,4
April,Qtr 2,2022,4
May,Qtr 2,2022,53765
June,Qtr 2,2022,93349
July,Qtr 3,2022,29447.39
August,Qtr 3,2022,416141.81
September,Qtr 3,2022,6945121.76
October,Qtr 4,2022,8465549.76
November,Qtr 4,2022,4692121.92
December,Qtr 4,2022,3305068.64
January,Qtr 1,2023,54463492.43
February,Qtr 1,2023,35231660.58
March,Qtr 1,2023,28660051.4
April,Qtr 2,2023,68453596.9
May,Qtr 2,2023,12316711.93
June,Qtr 2,2023,68288285.53
July,Qtr 3,2023,34833373.33
August,Qtr 3,2023,57830137.63
September,Qtr 3,2023,91982127.05
October,Qtr 4,2023,12822233.36
November,Qtr 4,2023,70386040.12
December,Qtr 4,2023,95524287.12
January,Qtr 1,2024,24966616.87
February,Qtr 1,2024,94793127.48
March,Qtr 1,2024,35241328.32
April,Qtr 2,2024,58222674.31
May,Qtr 2,2024,20586052.74
June,Qtr 2,2024,39481817.54
July,Qtr 3,2024,85677019.88
August,Qtr 3,2024,10643499.38
September,Qtr 3,2024,53449349.77
October,Qtr 4,2024,52940824.06
November,Qtr 4,2024,32220201.23
December,Qtr 4,2024,87931487.02
January,Qtr 1,2020,0
February,Qtr 1,2020,8
March,Qtr 1,2020,9
April,Qtr 2,2020,6
May,Qtr 2,2020,4
June,Qtr 2,2020,5
July,Qtr 3,2020,2
August,Qtr 3,2020,5
September,Qtr 3,2020,6
October,Qtr 4,2020,8
November,Qtr 4,2020,1
December,Qtr 4,2020,4
January,Qtr 1,2021,8
February,Qtr 1,2021,2
March,Qtr 1,2021,4
April,Qtr 2,2021,0
May,Qtr 2,2021,2
June,Qtr 2,2021,8
July,Qtr 3,2021,7
August,Qtr 3,2021,8
September,Qtr 3,2021,3
October,Qtr 4,2021,4
November,Qtr 4,2021,9
December,Qtr 4,2021,8
January,Qtr 1,2022,9
February,Qtr 1,2022,6
March,Qtr 1,2022,3
April,Qtr 2,2022,4
May,Qtr 2,2022,7
June,Qtr 2,2022,6
July,Qtr 3,2022,144488.05
August,Qtr 3,2022,367070.06
September,Qtr 3,2022,2193568.41
October,Qtr 4,2022,6065781.9
November,Qtr 4,2022,7037031.02
December,Qtr 4,2022,7520049.37
January,Qtr 1,2023,14599062.35
February,Qtr 1,2023,5965631.96
March,Qtr 1,2023,20097555.52
April,Qtr 2,2023,73672767.39
May,Qtr 2,2023,22262784.4
June,Qtr 2,2023,44646856.15
July,Qtr 3,2023,81475567.76
August,Qtr 3,2023,226137.61
September,Qtr 3,2023,36032310.21
October,Qtr 4,2023,8146944.8
November,Qtr 4,2023,52927037.92
December,Qtr 4,2023,58215086.63
January,Qtr 1,2024,52871349.12
February,Qtr 1,2024,44968796.35
March,Qtr 1,2024,13716031.82
April,Qtr 2,2024,37494274.64
May,Qtr 2,2024,44918256.2
June,Qtr 2,2024,23453769.8
July,Qtr 3,2024,78457443.81
August,Qtr 3,2024,34330257.38
September,Qtr 3,2024,70520457.19
October,Qtr 4,2024,3650219.78
November,Qtr 4,2024,49523556.68
December,Qtr 4,2024,72470391.52
January,Qtr 1,2020,6
February,Qtr 1,2020,3
March,Qtr 1,2020,1
April,Qtr 2,2020,6
May,Qtr 2,2020,7
June,Qtr 2,2020,8
July,Qtr 3,2020,4
August,Qtr 3,2020,0
September,Qtr 3,2020,3
October,Qtr 4,2020,8
November,Qtr 4,2020,3
December,Qtr 4,2020,5
January,Qtr 1,2021,0
February,Qtr 1,2021,4
March,Qtr 1,2021,9
April,Qtr 2,2021,9
May,Qtr 2,2021,8
June,Qtr 2,2021,7
July,Qtr 3,2021,1
August,Qtr 3,2021,7
September,Qtr 3,2021,8
October,Qtr 4,2021,9
November,Qtr 4,2021,6
December,Qtr 4,2021,5
January,Qtr 1,2022,8
February,Qtr 1,2022,0
March,Qtr 1,2022,85146
April,Qtr 2,2022,75056
May,Qtr 2,2022,1396
June,Qtr 2,2022,9860
July,Qtr 3,2022,38432
August,Qtr 3,2022,9597893.59
September,Qtr 3,2022,9034925.27
October,Qtr 4,2022,1300459
November,Qtr 4,2022,57720503.04
December,Qtr 4,2022,53973482.55
January,Qtr 1,2023,17286954.36
February,Qtr 1,2023,13278420.8
March,Qtr 1,2023,68411987.5
April,Qtr 2,2023,9283537.39
May,Qtr 2,2023,26312828.14
June,Qtr 2,2023,70576857.37
July,Qtr 3,2023,15256528.45
August,Qtr 3,2023,14259368.02
September,Qtr 3,2023,1892932.44
October,Qtr 4,2023,29541419.21
November,Qtr 4,2023,69524121.15
December,Qtr 4,2023,44528449.09
January,Qtr 1,2024,33137958.64
February,Qtr 1,2024,8219533.95
March,Qtr 1,2024,72195295.77
April,Qtr 2,2024,4540719.17
May,Qtr 2,2024,70287920.22
June,Qtr 2,2024,10652100.62
July,Qtr 3,2024,74610244.43
August,Qtr 3,2024,790299.61
September,Qtr 3,2024,85223146.61
October,Qtr 4,2024,28095328.04
November,Qtr 4,2024,56264475.5
December,Qtr 4,2024,69992028.22
January,Qtr 1,2020,9
February,Qtr 1,2020,5
March,Qtr 1,2020,6
April,Qtr 2,2020,1
May,Qtr 2,2020,9
June,Qtr 2,2020,1
July,Qtr 3,2020,5
August,Qtr 3,2020,3
September,Qtr 3,2020,2
October,Qtr 4,2020,7
November,Qtr 4,2020,1
December,Qtr 4,2020,2
January,Qtr 1,2021,2
February,Qtr 1,2021,8
March,Qtr 1,2021,9
April,Qtr 2,2021,3
May,Qtr 2,2021,8
June,Qtr 2,2021,3
July,Qtr 3,2021,2
August,Qtr 3,2021,6
September,Qtr 3,2021,5
October,Qtr 4,2021,9
November,Qtr 4,2021,5
December,Qtr 4,2021,6
January,Qtr 1,2022,3
February,Qtr 1,2022,1146.1
March,Qtr 1,2022,2515.37
April,Qtr 2,2022,41154.42
May,Qtr 2,2022,39842.01
June,Qtr 2,2022,33525.57
July,Qtr 3,2022,67349.94
August,Qtr 3,2022,976013.27
September,Qtr 3,2022,770134.57
October,Qtr 4,2022,159335.29
November,Qtr 4,2022,6407280.99
December,Qtr 4,2022,3275815.94
January,Qtr 1,2023,676528.2
February,Qtr 1,2023,2107132.86
March,Qtr 1,2023,8389381.9
April,Qtr 2,2023,5085729.52
May,Qtr 2,2023,9299206.81
June,Qtr 2,2023,9671379.8
July,Qtr 3,2023,3329951.9
August,Qtr 3,2023,9459715.01
September,Qtr 3,2023,8254007.55
October,Qtr 4,2023,1099720.7
November,Qtr 4,2023,1387230.15
December,Qtr 4,2023,7546111.74
January,Qtr 1,2024,930538.54
February,Qtr 1,2024,8187673.56
March,Qtr 1,2024,8000548.52
April,Qtr 2,2024,5120552.56
May,Qtr 2,2024,9837890.28
June,Qtr 2,2024,5641788.85
July,Qtr 3,2024,4226774.66
August,Qtr 3,2024,9233128.15
September,Qtr 3,2024,3860849.62
October,Qtr 4,2024,3910982.42
November,Qtr 4,2024,4559186.94
December,Qtr 4,2024,1479061.98
January,Qtr 1,2020,5
February,Qtr 1,2020,2
March,Qtr 1,2020,6
April,Qtr 2,2020,5
May,Qtr 2,2020,3
June,Qtr 2,2020,9
July,Qtr 3,2020,8
August,Qtr 3,2020,1
September,Qtr 3,2020,0
October,Qtr 4,2020,7
November,Qtr 4,2020,7
December,Qtr 4,2020,8
January,Qtr 1,2021,4
February,Qtr 1,2021,6
March,Qtr 1,2021,4
April,Qtr 2,2021,9
May,Qtr 2,2021,2
June,Qtr 2,2021,5
July,Qtr 3,2021,1
August,Qtr 3,2021,6
September,Qtr 3,2021,8
October,Qtr 4,2021,0
November,Qtr 4,2021,3
December,Qtr 4,2021,2
January,Qtr 1,2022,9
February,Qtr 1,2022,6
March,Qtr 1,2022,8
April,Qtr 2,2022,2
May,Qtr 2,2022,0
June,Qtr 2,2022,8
July,Qtr 3,2022,9
August,Qtr 3,2022,0
September,Qtr 3,2022,0
October,Qtr 4,2022,2
November,Qtr 4,2022,2
December,Qtr 4,2022,5976.7
January,Qtr 1,2023,64298.1
February,Qtr 1,2023,78709.28
March,Qtr 1,2023,34047.96
April,Qtr 2,2023,49940.19
May,Qtr 2,2023,53179.62
June,Qtr 2,2023,1973.52
July,Qtr 3,2023,26016.39
August,Qtr 3,2023,5636.7
September,Qtr 3,2023,938941.94
October,Qtr 4,2023,672995.64
November,Qtr 4,2023,461130.77
December,Qtr 4,2023,692076.78
January,Qtr 1,2024,4524769.05
February,Qtr 1,2024,330627.75
March,Qtr 1,2024,223665.39
April,Qtr 2,2024,327920.34
May,Qtr 2,2024,509660.66
June,Qtr 2,2024,73150.05
July,Qtr 3,2024,682732.69
August,Qtr 3,2024,597159.81
September,Qtr 3,2024,731538.79
October,Qtr 4,2024,922667.89
November,Qtr 4,2024,59851.57
December,Qtr 4,2024,45929.04
January,Qtr 1,2020,7
February,Qtr 1,2020,3
March,Qtr 1,2020,4
April,Qtr 2,2020,1
May,Qtr 2,2020,4
June,Qtr 2,2020,5
July,Qtr 3,2020,4
August,Qtr 3,2020,9
September,Qtr 3,2020,1
October,Qtr 4,2020,9
November,Qtr 4,2020,0
December,Qtr 4,2020,8
January,Qtr 1,2021,7
February,Qtr 1,2021,7
March,Qtr 1,2021,7
April,Qtr 2,2021,0
May,Qtr 2,2021,4
June,Qtr 2,2021,2
July,Qtr 3,2021,2
August,Qtr 3,2021,7
September,Qtr 3,2021,8
October,Qtr 4,2021,8
November,Qtr 4,2021,9
December,Qtr 4,2021,0
January,Qtr 1,2022,4
February,Qtr 1,2022,8
March,Qtr 1,2022,6
April,Qtr 2,2022,9
May,Qtr 2,2022,92335.09
June,Qtr 2,2022,23381
July,Qtr 3,2022,24682.81
August,Qtr 3,2022,36646.5
September,Qtr 3,2022,103771.35
October,Qtr 4,2022,3854275.48
November,Qtr 4,2022,526081.54
December,Qtr 4,2022,8047690.54
January,Qtr 1,2023,970327.22
February,Qtr 1,2023,8754400.08
March,Qtr 1,2023,1253548.93
April,Qtr 2,2023,7090940.92
May,Qtr 2,2023,2933234.25
June,Qtr 2,2023,4810986.2
July,Qtr 3,2023,5575403.01
August,Qtr 3,2023,2977814.35
September,Qtr 3,2023,3104648.59
October,Qtr 4,2023,9926693.52
November,Qtr 4,2023,7617239.39
December,Qtr 4,2023,3101454.23
January,Qtr 1,2024,3396359.45
February,Qtr 1,2024,9424800.19
March,Qtr 1,2024,955485.17
April,Qtr 2,2024,8594547.41
May,Qtr 2,2024,2673747.72
June,Qtr 2,2024,4570901.76
July,Qtr 3,2024,408058.29
August,Qtr 3,2024,1359381.52
September,Qtr 3,2024,9315563.45
October,Qtr 4,2024,9063668.18
November,Qtr 4,2024,3180184.87
December,Qtr 4,2024,2285723.18
January,Qtr 1,2020,1
February,Qtr 1,2020,1
March,Qtr 1,2020,3
April,Qtr 2,2020,4
May,Qtr 2,2020,0
June,Qtr 2,2020,3
July,Qtr 3,2020,5
August,Qtr 3,2020,4
September,Qtr 3,2020,0
October,Qtr 4,2020,6
November,Qtr 4,2020,1
December,Qtr 4,2020,1
January,Qtr 1,2021,3
February,Qtr 1,2021,9
March,Qtr 1,2021,9
April,Qtr 2,2021,0
May,Qtr 2,2021,1
June,Qtr 2,2021,7
July,Qtr 3,2021,5
August,Qtr 3,2021,2
September,Qtr 3,2021,8
October,Qtr 4,2021,6
November,Qtr 4,2021,9
December,Qtr 4,2021,2
January,Qtr 1,2022,1
February,Qtr 1,2022,3
March,Qtr 1,2022,8
April,Qtr 2,2022,5
May,Qtr 2,2022,641591.59
June,Qtr 2,2022,7067270.92
July,Qtr 3,2022,4002135.8
August,Qtr 3,2022,1240314.62
September,Qtr 3,2022,1282007.69
October,Qtr 4,2022,99193780.36
November,Qtr 4,2022,86721049.72
December,Qtr 4,2022,83092823.41
January,Qtr 1,2023,73658518.52
February,Qtr 1,2023,13963471.92
March,Qtr 1,2023,46090644.74
April,Qtr 2,2023,35903818.77
May,Qtr 2,2023,60351361.6
June,Qtr 2,2023,47544056.97
July,Qtr 3,2023,13334369.92
August,Qtr 3,2023,64766641.5
September,Qtr 3,2023,79460616.12
October,Qtr 4,2023,81986982.01
November,Qtr 4,2023,55645186.35
December,Qtr 4,2023,79017055.5
January,Qtr 1,2024,384156099
February,Qtr 1,2024,24628981.8
March,Qtr 1,2024,60244463.88
April,Qtr 2,2024,35212128.02
May,Qtr 2,2024,90168283.11
June,Qtr 2,2024,65496985.76
July,Qtr 3,2024,36743719.43
August,Qtr 3,2024,4125699.29
September,Qtr 3,2024,98852066.18
October,Qtr 4,2024,60760834.19
November,Qtr 4,2024,83719377.14
December,Qtr 4,2024,88557390.69
January,Qtr 1,2020,2
February,Qtr 1,2020,9
March,Qtr 1,2020,2
April,Qtr 2,2020,2
May,Qtr 2,2020,3
June,Qtr 2,2020,0
July,Qtr 3,2020,7
August,Qtr 3,2020,9
September,Qtr 3,2020,7
October,Qtr 4,2020,2
November,Qtr 4,2020,8
December,Qtr 4,2020,0
January,Qtr 1,2021,0
February,Qtr 1,2021,4
March,Qtr 1,2021,7
April,Qtr 2,2021,0
May,Qtr 2,2021,3
June,Qtr 2,2021,1
July,Qtr 3,2021,3
August,Qtr 3,2021,7
September,Qtr 3,2021,5
October,Qtr 4,2021,1
November,Qtr 4,2021,2
December,Qtr 4,2021,5
January,Qtr 1,2022,3
February,Qtr 1,2022,9
March,Qtr 1,2022,2
April,Qtr 2,2022,6
May,Qtr 2,2022,3
June,Qtr 2,2022,5
July,Qtr 3,2022,4
August,Qtr 3,2022,1
September,Qtr 3,2022,16583.41
October,Qtr 4,2022,617855.59
November,Qtr 4,2022,56010.24
December,Qtr 4,2022,115565.22
January,Qtr 1,2023,7856007.06
February,Qtr 1,2023,4042356.43
March,Qtr 1,2023,3016004.82
April,Qtr 2,2023,2703923.57
May,Qtr 2,2023,1691766.22
June,Qtr 2,2023,9307981.01
July,Qtr 3,2023,4325519.18
August,Qtr 3,2023,3515768.65
September,Qtr 3,2023,6588679.56
October,Qtr 4,2023,9890258.57
November,Qtr 4,2023,8340727.66
December,Qtr 4,2023,7922050.43
January,Qtr 1,2024,4323047.53
February,Qtr 1,2024,8567149.03
March,Qtr 1,2024,4931029.39
April,Qtr 2,2024,5595218.26
May,Qtr 2,2024,9973518.29
June,Qtr 2,2024,7316914.99
July,Qtr 3,2024,8140619.41
August,Qtr 3,2024,4374046.67
September,Qtr 3,2024,475300.93
October,Qtr 4,2024,1652885.17
November,Qtr 4,2024,1429307.54
December,Qtr 4,2024,7342.12
January,Qtr 1,2020,2
February,Qtr 1,2020,8
March,Qtr 1,2020,4
April,Qtr 2,2020,6
May,Qtr 2,2020,4
June,Qtr 2,2020,3
July,Qtr 3,2020,4
August,Qtr 3,2020,5
September,Qtr 3,2020,8
October,Qtr 4,2020,3
November,Qtr 4,2020,6
December,Qtr 4,2020,1
January,Qtr 1,2021,3
February,Qtr 1,2021,1
March,Qtr 1,2021,9
April,Qtr 2,2021,9
May,Qtr 2,2021,8
June,Qtr 2,2021,6
July,Qtr 3,2021,9
August,Qtr 3,2021,5
September,Qtr 3,2021,2
October,Qtr 4,2021,8
November,Qtr 4,2021,9
December,Qtr 4,2021,8
January,Qtr 1,2022,5
February,Qtr 1,2022,5
March,Qtr 1,2022,7
April,Qtr 2,2022,7
May,Qtr 2,2022,4
June,Qtr 2,2022,3
July,Qtr 3,2022,7
August,Qtr 3,2022,905027.89
September,Qtr 3,2022,278907.96
October,Qtr 4,2022,472187.18
November,Qtr 4,2022,733123.6
December,Qtr 4,2022,705323.5
January,Qtr 1,2023,7454180.08
February,Qtr 1,2023,698456.93
March,Qtr 1,2023,681636.18
April,Qtr 2,2023,789234.82
May,Qtr 2,2023,43635.95
June,Qtr 2,2023,27483.84
July,Qtr 3,2023,776940.16
August,Qtr 3,2023,266912.62
September,Qtr 3,2023,978020.52
October,Qtr 4,2023,822308.39
November,Qtr 4,2023,949717.4
December,Qtr 4,2023,513859.3
January,Qtr 1,2024,403.7
February,Qtr 1,2024,912545.8
March,Qtr 1,2024,191709.8
April,Qtr 2,2024,112524.8
May,Qtr 2,2024,440415.9
June,Qtr 2,2024,188090.1
July,Qtr 3,2024,58686.7
August,Qtr 3,2024,365550.8
September,Qtr 3,2024,698934.3
October,Qtr 4,2024,321904.6
November,Qtr 4,2024,427201
December,Qtr 4,2024,642777.9
January,Qtr 1,2020,7
February,Qtr 1,2020,3
March,Qtr 1,2020,4
April,Qtr 2,2020,9
May,Qtr 2,2020,6
June,Qtr 2,2020,0
July,Qtr 3,2020,7
August,Qtr 3,2020,5
September,Qtr 3,2020,8
October,Qtr 4,2020,7
November,Qtr 4,2020,4
December,Qtr 4,2020,9
January,Qtr 1,2021,5
February,Qtr 1,2021,0
March,Qtr 1,2021,1
April,Qtr 2,2021,9
May,Qtr 2,2021,459.15
June,Qtr 2,2021,915.95
July,Qtr 3,2021,996.97
August,Qtr 3,2021,505.38
September,Qtr 3,2021,0
October,Qtr 4,2021,1
November,Qtr 4,2021,4
December,Qtr 4,2021,0
January,Qtr 1,2022,2
February,Qtr 1,2022,30331.17
March,Qtr 1,2022,74985.45
April,Qtr 2,2022,59933.86
May,Qtr 2,2022,90895.06
June,Qtr 2,2022,99305.78
July,Qtr 3,2022,57624.59
August,Qtr 3,2022,837262.58
September,Qtr 3,2022,58052.91
October,Qtr 4,2022,498975.17
November,Qtr 4,2022,952345.06
December,Qtr 4,2022,311643.5
January,Qtr 1,2023,8837759.288
February,Qtr 1,2023,441473.29
March,Qtr 1,2023,6219415.36
April,Qtr 2,2023,2770211.99
May,Qtr 2,2023,2400548.52
June,Qtr 2,2023,8618292.31
July,Qtr 3,2023,3337936.33
August,Qtr 3,2023,1136772.6
September,Qtr 3,2023,6820640.02
October,Qtr 4,2023,389179.82
November,Qtr 4,2023,5913493.5
December,Qtr 4,2023,6259554.34
January,Qtr 1,2024,1781956.48
February,Qtr 1,2024,8838098.73
March,Qtr 1,2024,7150694.69
April,Qtr 2,2024,6801456.74
May,Qtr 2,2024,1640066.3
June,Qtr 2,2024,4215613.1
July,Qtr 3,2024,2090315.44
August,Qtr 3,2024,227167.55
September,Qtr 3,2024,4227905.91
October,Qtr 4,2024,8920044.44
November,Qtr 4,2024,3296647.09
